genres,id,name,popularity,ranking
['background music'],3yKoHgjtyenCOIRaD2Gghu,Cafe Music BGM channel,65,1
"['c-pop', 'mandopop', 'taiwan pop', 'zhongguo feng']",2elBjNSdBE2Y3f0j1mjrql,Jay Chou,70,2
"['classic mandopop', 'mandopop']",7g65zUBhUAbiu4pAcoyWRd,Phil Chang,46,3
"['c-pop', 'classic mandopop']",1Hu58yHg2CXNfDhlPd7Tdd,Jacky Cheung,59,4
"['anime', 'anime score', 'japanese classical', 'japanese soundtrack', 'orchestral soundtrack']",7nzSoJISlVJsn7O0yTeMOB,Joe Hisaishi,67,5
"['c-pop', 'cantopop', 'classic mandopop']",2n3uDrupL8UtFSeZhY38MS,Andy Lau,51,6
"['c-pop', 'cantopop', 'mandopop']",2QcZxAgcs2I1q7CtCkl6MI,Eason Chan,64,7
"['mandopop', 'singaporean mandopop', 'singaporean pop']",7Dx7RhX0mFuXhCOUgB01uM,JJ Lin,64,8
"['j-pop', 'japanese teen pop']",6mEQK9m2krja6X1cfsAjfl,Ado,70,9
"['mandopop', 'taiwan pop']",16s0YTFcyjP4kgFwt7ktrY,Mayday,60,10
"['mandopop', 'taiwan singer-songwriter']",5H8TJITZE1sPjVR2ACzXNS,Wu Bai,53,11
"['j-pop', 'j-rock', 'japanese emo', 'visual kei']",1EowJ1WwkMzkCkRomFhui7,RADWIMPS,70,12
"['c-pop', 'mandopop']",6zCAdMK7SVxKyGMnAc26Cy,Power Station,49,13
['j-pop'],4UK2Lzi6fBfUi9rpDt6cik,ヨルシカ,67,14
"['detroit hip hop', 'hip hop', 'rap']",7dGJo4pcD2V6oG8kP0tJRR,Eminem,88,15
"['anime', 'anime rock', 'j-pop']",5Vo1hnCRmCM6M4thZCInCj,OFFICIAL HIGE DANDISM,70,16
"['j-pop', 'japanese teen pop']",64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,76,17
"['malaysian mandopop', 'mandopop']",3aIDSTKS9yH745GUQBxDcS,Fish Leong,56,18
"['mandopop', 'taiwan indie', 'taiwanese indie']",6g641431O1Xkl7HAs2yFEg,EggPlantEgg,52,19
"['mandopop', 'taiwan indie']",6xErgeZYatiaQ36SB5bvi8,告五人,59,20
['pop'],04gDigrS5kc9YWfZHwBETP,Maroon 5,83,21
"['anime', 'anime rock', 'j-pixie', 'j-pop', 'j-poprock']",0bAsR2unSRpn6BQPEnNlZm,Aimer,66,22
"['permanent wave', 'pop']",4gzpq5DPGxSnKTe4SA8HAU,Coldplay,87,23
"['mandopop', 'taiwan pop']",2F5W6Rsxwzg0plQ0w8dSyt,Leehom Wang,52,24
['mandopop'],3WYT2b8pOLsLsqSaoWYr7U,Sodagreen,53,25
"['anime', 'j-pop']",1snhtMLeb2DYoMOcVbb8iB,Kenshi Yonezu,72,26
"['classic mandopop', 'mandopop', 'taiwan singer-songwriter']",3LefT7hR0PJgShJNQoPns5,Zhang Yu Sheng,43,27
['mandopop'],14bJhryXGk6H6qlGzwj3W5,Hebe Tien,52,28
"['canadian pop', 'candy pop', 'pop']",0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,73,29
['japanese vgm'],4hFBhdNVZZuVk5FYThUwaN,アトラスサウンドチーム,59,30
"['j-pop', 'j-rock']",6rs1KAoQnFalSqSU4LTh8g,back number,69,31
"['orchestral soundtrack', 'soundtrack']",3dRfiJ2650SZu6GbydcHNb,John Williams,68,32
"['c-pop', 'cantopop', 'classic cantopop', 'hong kong rock']",4F5TrtYYxsVM1PhbtISE5m,Beyond,54,33
['dinner jazz'],4UMJQk2clk5hZQJlbfskEt,Upbeat Kitchen Jazz,45,34
['dinner jazz'],5MTjtqFm6fBmdhybCzNjxz,C.O.D.J,51,35
['dinner jazz'],3P7oXBKMrbWxXgConZ7zqL,Café Select,26,36
['dinner jazz'],22PXOfLIMiOylgjOqEhldF,Jazz And Java,45,37
['mandopop'],5fEQLwq1BWWQNR8GzhOIvi,Eric Chou,63,38
['dinner jazz'],4JeJKE0pZOSH0Nf3AyiUW0,Jazz Love Jazz Life,28,39
['dinner jazz'],5wu7wE41v7iAYaeXrBgu01,The Myth of the Turtle,49,40
"['british soul', 'pop', 'pop soul', 'uk pop']",4dpARuHxo51G3z768sgnrY,Adele,83,41
"['anime', 'j-pixie']",1NRrtMvT3o1TI6I8XCuweq,MYTH & ROID,51,42
[],2nvl0N9GwyX69RRBMEZ4OD,結束バンド,61,43
['dinner jazz'],4oSwM1W2nl4ucCwy4C7Nek,Thiago Sanchez Jazz Quartet,37,44
"['anime rock', 'j-pop', 'japanese punk rock']",6n4SsAp5VjvIBg3s9QCcPX,SUDA MASAKI,57,45
"['anime', 'classic j-pop', 'j-pop', 'japanese singer-songwriter']",7lbSsjYACZHn1MSDXPxNF2,Hikaru Utada,63,46
['mandopop'],5oqLnVZzJJXE3YnzzZfRKu,F.I.R.,51,47
"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']",0ixzjrK1wkN2zWBXt3VW3W,Yuuri,68,48
[],5qEtLvXzYdv0G7c7rR6irX,Lyn,56,49
[],2OONIu5uYmg5iAwgZWnJFJ,Café titi,41,50
